,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,sqft_living15,sqft_lot15
0,221900.0,3,1.0,7.07326971745971,8.639410824140487,1.0,0.0,0.0,3,7,1180,0.0,1955,0.0,7.200424892944957,5650
1,538000.0,3,2.25,7.851661177889265,8.887652690325586,2.0,0.0,0.0,3,7,2170,400.0,1951,1991.0,7.432483807917119,7639
2,180000.0,2,1.0,6.646390514847729,9.210340371976184,1.0,0.0,0.0,3,6,770,0.0,1933,0.0,7.908387159290043,8062
3,604000.0,4,3.0,7.580699752224563,8.517193191416238,1.0,0.0,0.0,5,7,1050,910.0,1965,0.0,7.215239978730097,5000
4,510000.0,3,2.0,7.426549072397305,8.997147151515142,1.0,0.0,0.0,3,8,1680,0.0,1987,0.0,7.495541943884256,7503
6,257500.0,3,2.25,7.44716835960004,8.827468112520654,2.0,0.0,0.0,3,7,1715,0.0,1995,0.0,7.71333788887187,6819
7,291850.0,3,1.5,6.966024187106113,9.181014542594355,1.0,0.0,0.0,3,7,1060,0.0,1963,0.0,7.408530566894626,9711
8,229500.0,3,1.0,7.484368643286131,8.918650278126863,1.0,0.0,0.0,3,7,1050,730.0,1960,0.0,7.484368643286131,8113
9,323000.0,3,2.5,7.5443321080536885,8.788745881938135,2.0,0.0,0.0,3,7,1890,0.0,2003,0.0,7.779048644925556,7570
10,662500.0,3,2.5,8.177515823846075,9.189729418072059,1.0,0.0,0.0,3,8,1860,1700.0,1965,0.0,7.700747794511798,8925
11,468000.0,2,1.0,7.05617528410041,8.699514748210191,1.0,0.0,0.0,4,7,860,300.0,1942,0.0,7.1929342212158,6000
12,310000.0,3,1.0,7.265429723253953,9.898525260706313,1.5,0.0,0.0,4,7,1430,0.0,1927,0.0,7.484368643286131,12697
13,400000.0,3,1.75,7.222566018822171,9.177817180270623,1.0,0.0,0.0,4,7,1370,0.0,1977,0.0,7.222566018822171,10208
